APPEND: Start: 1518825083, End: 1529245125, Latency: 10420042 µs
APPEND: Start: 1529315292, End: 1539537500, Latency: 10222208 µs
APPEND: Start: 1539605750, End: 1549960792, Latency: 10355042 µs
APPEND: Start: 1550037917, End: 1560385833, Latency: 10347916 µs
APPEND: Start: 1560475500, End: 1572166708, Latency: 11691208 µs
APPEND: Start: 1572224167, End: 1582417583, Latency: 10193416 µs
GET: Start: 1582476083, End: 1592659750, Latency: 10183667 µs
GET: Start: 1592697167, End: 1602959375, Latency: 10262208 µs
APPEND: Start: 1603007667, End: 1613246333, Latency: 10238666 µs
APPEND: Start: 1613317792, End: 1623597792, Latency: 10280000 µs
GET: Start: 1623673708, End: 1633978083, Latency: 10304375 µs
APPEND: Start: 1634033167, End: 1644322208, Latency: 10289041 µs
APPEND: Start: 1644388500, End: 1654693417, Latency: 10304917 µs
GET: Start: 1654732208, End: 1664925083, Latency: 10192875 µs
APPEND: Start: 1664975750, End: 1675309083, Latency: 10333333 µs
GET: Start: 1675360625, End: 1685657250, Latency: 10296625 µs
APPEND: Start: 1685720125, End: 1696005958, Latency: 10285833 µs
APPEND: Start: 1696056875, End: 1706363833, Latency: 10306958 µs
APPEND: Start: 1706413375, End: 1716629167, Latency: 10215792 µs
GET: Start: 1716666125, End: 1726884917, Latency: 10218792 µs
GET: Start: 1726929667, End: 1737159500, Latency: 10229833 µs
GET: Start: 1737214792, End: 1747618375, Latency: 10403583 µs
GET: Start: 1747676583, End: 1758158667, Latency: 10482084 µs
APPEND: Start: 1758223042, End: 1768486333, Latency: 10263291 µs
GET: Start: 1768535208, End: 1778813708, Latency: 10278500 µs
GET: Start: 1778854542, End: 1789064458, Latency: 10209916 µs
GET: Start: 1789123167, End: 1799370708, Latency: 10247541 µs
APPEND: Start: 1799420583, End: 1809668958, Latency: 10248375 µs
GET: Start: 1809750875, End: 1820030583, Latency: 10279708 µs
GET: Start: 1820084292, End: 1830509792, Latency: 10425500 µs
APPEND: Start: 1830563625, End: 1840766542, Latency: 10202917 µs
GET: Start: 1840816583, End: 1851054000, Latency: 10237417 µs
APPEND: Start: 1851101000, End: 1861331750, Latency: 10230750 µs
GET: Start: 1861387167, End: 1871620250, Latency: 10233083 µs
APPEND: Start: 1871666000, End: 1881922083, Latency: 10256083 µs
APPEND: Start: 1881973833, End: 1892257292, Latency: 10283459 µs
GET: Start: 1892301625, End: 1902510625, Latency: 10209000 µs
APPEND: Start: 1902558292, End: 1912767958, Latency: 10209666 µs
GET: Start: 1912846292, End: 1923107958, Latency: 10261666 µs
GET: Start: 1923162542, End: 1933452125, Latency: 10289583 µs
GET: Start: 1933518375, End: 1943810417, Latency: 10292042 µs
APPEND: Start: 1943857917, End: 1954061667, Latency: 10203750 µs
GET: Start: 1954115000, End: 1964309708, Latency: 10194708 µs
APPEND: Start: 1964362125, End: 1974599125, Latency: 10237000 µs
APPEND: Start: 1974646542, End: 1984891958, Latency: 10245416 µs
GET: Start: 1984953208, End: 1995207750, Latency: 10254542 µs
GET: Start: 1995245125, End: 2005506208, Latency: 10261083 µs
GET: Start: 2005550958, End: 2015841750, Latency: 10290792 µs
APPEND: Start: 2015894583, End: 2026063833, Latency: 10169250 µs
GET: Start: 2028133208, End: 2038377250, Latency: 10244042 µs
APPEND: Start: 2038434875, End: 2048638875, Latency: 10204000 µs
APPEND: Start: 2048684792, End: 2058899583, Latency: 10214791 µs
GET: Start: 2058945417, End: 2069207792, Latency: 10262375 µs
GET: Start: 2069249125, End: 2079558833, Latency: 10309708 µs
APPEND: Start: 2079605292, End: 2089910000, Latency: 10304708 µs
GET: Start: 2089979083, End: 2100247833, Latency: 10268750 µs
GET: Start: 2100295167, End: 2110563042, Latency: 10267875 µs
GET: Start: 2110613458, End: 2120936167, Latency: 10322709 µs
GET: Start: 2120993417, End: 2131493417, Latency: 10500000 µs
GET: Start: 2131563417, End: 2142346917, Latency: 10783500 µs
GET: Start: 2142387167, End: 2152651833, Latency: 10264666 µs
GET: Start: 2152695208, End: 2162911292, Latency: 10216084 µs
GET: Start: 2162953625, End: 2173310833, Latency: 10357208 µs
GET: Start: 2173370667, End: 2183647750, Latency: 10277083 µs
APPEND: Start: 2183713333, End: 2193979458, Latency: 10266125 µs
APPEND: Start: 2194026833, End: 2204334667, Latency: 10307834 µs
GET: Start: 2204375667, End: 2214592708, Latency: 10217041 µs
GET: Start: 2214643583, End: 2224874458, Latency: 10230875 µs
APPEND: Start: 2224910208, End: 2235215917, Latency: 10305709 µs
APPEND: Start: 2235262583, End: 2245527375, Latency: 10264792 µs
APPEND: Start: 2245575875, End: 2255786958, Latency: 10211083 µs
GET: Start: 2255841500, End: 2266109458, Latency: 10267958 µs
GET: Start: 2266150833, End: 2276415500, Latency: 10264667 µs
GET: Start: 2277591667, End: 2287944000, Latency: 10352333 µs
APPEND: Start: 2287997083, End: 2298243167, Latency: 10246084 µs
GET: Start: 2298283500, End: 2308490000, Latency: 10206500 µs
GET: Start: 2308545750, End: 2318797667, Latency: 10251917 µs
APPEND: Start: 2318839833, End: 2329124333, Latency: 10284500 µs
